text,file,cluster
"Pregunta
 Buenas tardes , Francisco Moreno . , que mire , los pedidos de mil páginas y un pedido el el lunes pasado no llegue . Pasa que estoy comunicarme con usted y tengo ninguna respuesta Yo . Siete uno . Uno de los tres sea , tengo el primero que se perdió . Veinte , dieciséis ya cero treinta ? Sí , ocho . Ocho . Correcto . Cinco jota Eme cero uno , quieres , te metiste Me por , , que ver el listado . . ahorrando . el primero , claro , de los otros dos . Se lo puedo ver Uno el primero que no he ido . El nueve . Ocho , ocho , dos , ocho . Sí , siete , nueve , . es lo que les . porque tengo mañana entonces lo mismo . Porque que si se me desaparecía te .  
",34701-13-27-47.csv,envios
"Pregunta
 gusto , señorita . Yo Bueno , aquí habla con Roberto . Mira , yo estoy haciendo pedido internet . La lista , el , el precio , todos los datos . Miento . que tío . Pero hasta , ? Y no me . No me llegó . No me la la la la estaba porque o o pagar ? No . No , que me . . tengo . . ya espéreme un segundito . ? Ya una página . Claro . . La una Yo estoy con mi pago . después , ya que seleccionó . nombre todo el nombre . Aquí hay una cosa dice Sexo . de . , . . , lo escucho . Mira , yo exacto . Y pero la tecla , , están , no ? Y ya . Y ya está . , , Entonces voy a los . Sí , Pues . Los datos luego todos los nuevos . , Rápido . No , no , no . , . pegado ? , y . Y . , claro . Bueno . , . Ya , en este punto que , . , . Ingresar . Ingresar ya Ruth . , . Ya hay . , no , no , no . rato que yo le diga . . , bien . algo que no . los vasos , la , la escucho muy bajito . . Vamos , producto . . notamos que su . , , una lista . , ya y , aquí . Y no está . Bueno , sabes yo tengo . , la otra página . Todavía tengo la otra . a la antigua Hay . , , . , hay . Hay , hay algo ya , ya , ya . . Continuar . Muy bien . Fecha , mayo . Ya el lunes , veinticinco . Hasta tengo la y voy aquí , trabajo , continuar . aquí muy ya . Su , los valores , los del cosas . Chica , te digo yo recibir el pedido . y pueden ser otra persona . ya . Y cuestiones y continuar . Ya , me dice la fecha lunes veinticinco . ? Yo le digo vamos a lo mismo . No , no , lo sobre todo es tan gris no fuimos a a las formas de pago en un dicho gris blanco , y nada . Y así me parece bonito . Que tienes ? Pues te voy hablar con pestillo . Pero y y ya llegado y Y continuar . Me me a . Levanta ya . Cuando una , ? seguir comprando . Si digo seguir comprando , también , . Sí , pero no , Pero no tengo otra forma . Vuelva a anterior . Claro . No , , . Ya . Y hijos o no ? Yo voto o no , ya estoy dentro . Estoy ya . , ya . , ya ahí y vuelvo . Me . hacer . ya . . Comprar de los esta cosa ahí aparece pantalla , antes Entonces voy a voy a de luego decir la secuencia , se puede Ay , ay , ay . dice ya ? Sí , te digo que sustitución para , seleccionar mismo que tenía . ? le pongo ? Y a veces una lista lo con los , es que acá , pero dice y acepto tu de condición y ya podemos continuar . ? Sí , dice Hay una una una . la cosa del precio total . Y hay un donde dice dice , condiciones . tengo . Voy a . Continuar ? No , Si . Ya estoy . Muy bien . Ya . Entonces me . a la misma pantalla . , , teléfono , hacendado . Dirección , fecha , valor . , pero no pago . Y Y si te pongo lo mismo contigo ? Ya estoy , Digo , estoy te digo qué hago ya . Ajá . Aquí estoy . Voy a con todos . Tendría que volver . conmigo . Vamos . , ya , ya . yo , cuatro , pero no . Vamos una vez más . Pero yo salgo me volver a ver . Ya me , los valores de completo , supongo , me dijo que . Pues ahora muy pronto . Sí , sí . Muy bien . , , salgo de aquí Hay unos salir en . Ocho . . ? Voy a buscarlo . Algo me dice que no tiene . , vamos . , a . Ahí está . Ya . . Esta cosa tan mal . Muy bien . la fecha . ? . Bien , muchas veces . . Aquí llegamos . los datos . Lo estoy cambiando . Y no me estoy mucho , verdad ? . que yo pongo , mi pago . De hecho , sistema necesitado tiene todos mis datos . Mi nombre , dirección hasta la operación . Que voy a hacer . Eso no me va a reconocer ? Su ? Ya lo . Mis datos . Mi nombre . Doctor con corta ya . Y su Roberto , seis cinco cero siete tres , dos , seis , seis , nueve . Repito , seis , cinco , cero , siete . Tres , dos , seis , nueve , nueve . Y el correo ? Mi correo Rabanales con be corta arroba . Gmail punto com . Nueve , nueve , ocho , dos , cinco , cinco , cuatro , , uno , nueve , nueve , ocho , dos , cinco , cinco , cuatro , cuatro , uno sola que las once . , seis , trece ya . O sea , a los doce quince , más o menos echar un vistazo . , . Y yo . Yo más . Sí , , gracias . . Yoli , . ,  
",34791-10-48-31.csv,envios
"Pregunta
 Hola . Buenas noches . Usted con María , Lo que pasa es hoy abrir . Hice una solicitud por internet y el pedido que helado y que iba a llegar día las dos y media y siete y media de la tarde . Y me meto Internet para revisar el estado del pedido y aparece el estado de . Ni siquiera de preparación y envío ni en camino . uno uno , dos , cuatro , treinta y seis . Gracias . y ya . Y me va a llegar como otro la aplicación o algo donde dice que llega mañana o no o no pasa nada en el sistema y hasta mañana . ya . Veinticuatro , ya .  
",34719-19-52-32.csv,envios
"Pregunta
 señorita ? Buenos días . Mire , mi nombre es Carmen . Ortiz . Necesito hacerle una consulta . , Mire , yo ayer también , pero necesito una respuesta . yo hice un pedido hace como una semana atrás todavía no me llega . Y se suponía que llegaba ayer . Nada , una entiende que hay demora y todo eso . Pero yo tenía fecha para entrega ayer y no me llegó . Entonces yo . Son . Me dieron un número de reclamo y me dijeron que ya primera hora me a llegar . Yo veo que no ha cambiado en nada el estado pedido . Entonces yo quiero saber en está eso . Y si ustedes pueden asegurarme que me va a llegar hoy pedido . Tengo el número de pedido acá . tiene leve . Eso no con , Ciento setenta y dos . . Siete , ocho , siete , ocho , siete , cinco , nueve . , por favor . Si , no se preocupe . a lo que me interesa , ese tener la seguridad que esto va a llegar hoy , porque como le digo esto , yo lo pedí hace una semana atrás . el mío . No , no me acuerdo el nombre , pero pero tengo un número de reclamo me me hizo un número de reclamo . Correcto . Ahora yo no sé si eso registrado . Un sistema . para mañana , Sí , es que yo lo necesito el día . De hecho , como le digo , me lo aseguraron . No tengo ninguna posibilidad de de esperar para mañana . O sea , me complicaría muchísimo . Por favor , yo le pediría que insistiera porque porque como le digo , una semana esperando , ya no tengo nada . Y y por eso no como estos , porque si no , además tiene una compra de diez mil pesos son doscientos tantos mil . Entonces , por favor , a cualquier hora del día , pero que me aseguren uno cien por ciento que a llegar , si no importa que sea en la tarde . No se preocupe , me lo que me interesa , como le digo , es tener la mercadería hoy día , porque si no , no se lo voy a hacer . Y qué significa que no pueden asegurar . O sea , que no . No favor , yo le le le pediría que que que la solicitud y todo eso . Y me Es posible que me avisen porque de no saber perfecto . como servicio al cliente , trabajan en qué horario ? ocho de la Ya . Perfecto , perfecto . le digo , ojalá que me avisen . Pues necesito saber y necesito el pedido . , como le digo , ayer ya era tarde no había posibilidad , Pero pero se llama ? Imagínese mañana , o sea , posibilidad , por favor . Así que ojalá que me puedan avisar . perfecto . Ya . Pues gracias . Perfecto . Muchas gracias .  
",34711-11-29-14.csv,envios
"Pregunta
 muy buenas noches . Bienvenida , punto . Se le se comunica con María León con quién tengo el gusto . Hola . Buenas noches con Carolina Escobar . Muy buenas noches , señorita Carolina . En le puedo ayudar ? , quiero saber lo que pasa es que hizo un pedido y quiero saber si hasta ahora ya me puede llegar a un o . No Esperando . Bien , primero que nada , usted me podría indicar , por favor , su número de pedido . Así verificarlo en el sistema . , diga ? Sí , el perfecto . Aló ? , señorita . Le estoy escuchando . Aló ? Señorita Carolina . Señorita Carolina . Aló ? Aló ? Me escucha ahora ? Ahora sí , Ahora sí lo escuchar ya . El pedido es de corta de corta . Ciento sesenta y seis . Ciento sesenta y seis , nueve , nueve , ocho , nueve , nueve , ocho , nueve , cuatro , nueve , cuatro . Ya está , . , señorita Carolina , Me permite un momento , por favor ? A la línea para poder verificar en el sistema ya la otras letras ? No , no , muchas gracias . Muchas gracias por su tiempo . En espera y disculpe la demora , señorita Carolina . Verificando . El sistema me refleja que su pedido aún se encuentra pendiente de picking y la verdad No creo que le estaría llegando el día de hoy . Me refleja para que sea reprogramado para el día lunes . Usted permite que pueda ser reprogramado . el lunes así pueda llegarle con prioridad a primera hora mañana . No se puede , la verdad , mañana , el día de mañana ? No . Sin embargo , si usted desea , puedo generar , que sea sacado lo más pronto posible , si es posible el día de mañana . Pero no realmente . Bien , voy a generar reclamo por atrás pedido . Voy a solicitar que es posible , despachado el día de mañana . Pero la verdad , lo dudo mucho . Bien , lo que puedo voy a indicar para que sea el día de mañana . Pero si no pudiera , le parece el día lunes a primera hora ? Que me dices es que mañana . Y si no , que lo quiero para el día . No ? Nada . Perfecto . Bien . Permite Momento . , por favor . Muchas gracias por su espera , señorita Carolina desea tomar nota del número de reclamo ? Si vemos un ya . , el número de su reclamo sería treinta y siete ya cero . Tres ya . Diez ya . Perfecto . Algo que la puedo ayudar ? señorita Carolina . me van a llamar ustedes mañana , tengo que volver a llamar yo . Así es . que acá que seas . dado para el día de mañana . Bien , pero si esto no es posible , que usted sea comunicada para que usted le pueda confirmarse . lunes . Desea la compra o no ? Con lo que suda , toca como su número de teléfono , que sería el nueve nueve , seis , seis , tres , uno cero , tres nueve , Correcto ? Sí , para que usted sea . Bien , Ya listo . Algo que le pueda ayudar ? Grecia . Gracias a usted por llamar . uno punto que tenga muy que con María Elena . Hasta luego .  
",34783-20-13-51.csv,ayuda
"Pregunta
 Con Natalia . Sabe que recibiría mi pedido de que programado para hoy ? El pan dos que son dos . Entiendo que aparece colgado en la boleta que me . Son pero me aparece la , No , no . la boleta ? trece , trece , siete , cuatro , cuatro , nueve , tres , uno , cinco . favor claro , , Y la otra cosa ? Y lo que pasa que que te un frasco de pepinillos venía abierto . viene así como los uno se da cuenta , Pero justo lo y empezó a golpear . Entiendo . el Claro que era una bolsa tradicional . saber ahora . Sí , claro . el veintinueve . Eso es el jueves . No , ya en la mañana , no es cierto ? consulta solamente . Muchísimas gracias . Hasta luego .  
",34757-15-28-23.csv,envios
"Pregunta
 Hola , Javier . Buenas tardes . Hablas con Carolina Rojas ? Mira , estoy llamando para hacer una consulta . Yo pedí un un despacho domicilio el otro día y me llega el sábado ya ? Sí , Rancagua . es por un monto . ? Ciento setenta mil . Tengo que pagar algún despacho . Algún costo por el despacho ? El número , ver , espérame . . no puede ser con el . ya . Mejor espérame . Diez millones ? Sí , nueve , siete , cinco . Bien . Cinco , cinco , uno . Bien . seis . , . ya me lo cobraron ya . Es que mi duda para ver si tenía la plata . , No , porque no quiero tener contacto con nadie . perfecto . Disculpa , te hago una consulta ? Yo primera vez que pido domicilio , porque siempre iba a comprar . Entonces quiero saber , en el fondo , los traen en cajas . ? las cosas ? Ya , ya , ya , Pero todo encaja en el fondo y las , , las aguas minerales . las . una , una O también vienen envasadas en algo , Ya . Perfecto . Ya , ya quería saber eso . Perfecto . Muchísimas gracias . Gracias . Igual que bien . Gracias . Había  
",34755-14-22-13.csv,envios
"Pregunta
 Mira , lo que pasa es que hice un pedido de . Espérame un poquito . Fue hablar bajo . hice el pedido de en la página web para entrega a domicilio el día once de abril . Me dice que la fecha estimar el jueves , el día de hoy , dieciséis hasta las tres de la tarde . no me ha llegado nada . Yo me metí en internet y el pedido fue ingresado el día once y de ahí no ha cambiado el estado que tiene . Entonces , no si se van , . Me han llamado nada . tres , siete , dos Jun . Dos Creo que . De hecho , me aparece aquí el pedido y me aparecen las ? Mi tarjeta sin Es Ve de vaca . Y tengo el correo del once de abril . Igual igual trece . Once . ingresado . , me aparece por el día . La hora . Pero activo todavía ? para confirmar eso , yo entiendo que están con contingencias . Totalmente comprensible . Era netamente para confirmar de que estuviese activo y que me a Hasta luego .  
",34782-16-43-46.csv,envios
"Pregunta
 Hola . . con Carlos . Mira , sabes que estoy haciendo una compra online a través de un poco . ingresar una , una de hecho , . Y me sale con al momento . el código , número incorrecto . portal perfecto . Ya . Oye , , . Igualmente . Hasta luego .  
",34796-13-13-45.csv,envios
"Pregunta
 Buenas tardes . Mi nombre es Carolina . Estaba haciendo un pedido por internet que lo , pero en el momento de pagar ya tenía ingresado todo el . seleccionar la tarjeta de crédito , estaba pagando . Y me vino una duda de esas tontas . Y volví atrás en la página y se me desapareció todo el pedido . Pero si se hizo el cobro , aparentemente la tarjeta de crédito , porque primero me hizo lo del un peso que , eh ? Y cuando iba a ser la la del resto del total de la cuenta le viene una duda de no sé qué . Y volví atrás en la página cuando quise volver a seguir con el pago no pude llegar . Y en el estado del pedido no me aparece nada . ya . Ocho , ocho , ocho , ocho , dos , uno , dos , uno , seis cuarenta y un siete es el mismo , eh ? Cómo puedo yo tener como un comprobante ahora de lo que hice ? Porque a me nada . Ni siquiera está en el estado de mi cuenta . déjeme ir a revisar el correo porque lo estaba viendo , pero no estaban ya . Ahora que que fue ingresado el pedido . se había demorado un poco . Ya me quedo tranquilo ,  
",34791-18-09-49.csv,compra
